x,y,z,x_vel,y_vel,alpha,beta,z_vel,delay,score
0.101,-0.119,0.422,10.615,-9.148,-6.523657832264039,-5.685991286258247,0.4049294522120079,46.71710742503832,0.971391360773978
-0.001,0.024,0.179,10.565,5.667,1.8810131097372704,-0.000616126760282,0.9681612964748452,29.071668554771183,0.9542438089722488
-0.027,0.108,0.627,-15.856,-0.962,13.332426881586343,6.424485144821521,0.6833107065083326,39.80438084030568,0.6580472393561005
0.104,-0.018,0.395,20.382,15.116,7.549384045129577e-05,-6.324479875355324,0.382367263719307,44.157762157325735,0.94513019311059
0.086,-0.012,0.194,-17.039,-20.237,0.0002574668357592,-4.563653361250456,0.6983025835411052,29.84855266286044,0.8758691197847595
-0.015,-0.037,0.19,-0.036,6.637,-8.097044048170796e-05,0.0002636191875477,0.6682986082393361,30.32062325553919,0.853168614384897
-0.095,0.045,0.153,1.933,7.477,4.675281576867903,6.737504846073839,0.4999988116446089,19.05919442476977,0.8537610971363045
-0.126,-0.07,0.454,1.89,-14.376,-15.0,10.0,1.1,40.0,0.3463062218345186
-0.083,0.066,0.178,-12.868,-6.09,4.007007020674227,5.952141138069223,0.8339160678088718,28.567715950867285,0.9809094260179794
-0.031,0.079,0.375,9.01,-10.044,3.491270964175784,0.0007356092028219,0.4599532060600737,46.78020414357808,0.9256138153148868
0.06,-0.104,0.699,7.949,-16.211,-18.414129851031856,-9.231417572127846,0.4998561153860476,29.576845010475367,0.5635862673981932
0.016,0.085,0.421,-8.133,11.605,4.943975532398845,0.0004903082562654,0.3718665596048079,47.62440571786691,0.9345884250361832
0.087,0.114,0.252,13.305,10.942,5.947939455728438,-4.722650748996893,0.8630428406894315,38.081467379689386,0.917737129400861
-0.137,0.119,0.661,1.174,4.39,10.499755859375,10.000244140625,0.5,30.0,0.372507167367072
0.114,-0.119,0.583,-5.245,-3.842,-16.814647641595286,-15.50320803481967,0.4836257820479687,20.989053637232463,0.427452580822664
-0.099,-0.067,0.603,-11.188,13.73,-4.245126713613669,11.20031437217563,0.6830804784052734,40.9703271244428,0.6116048013452353
-0.11,0.126,0.775,8.999,8.194,9.94900608642979,5.6390939605390304,0.4800901138502155,39.67632548042225,0.5975322741166452
-0.043,-0.133,0.741,-4.032,17.061,-14.052321899223802,6.586442751425325,0.4969031573483283,30.49589415726482,0.5392128226827296
0.059,0.05,0.613,4.825,20.115,8.879665689763847,-6.464063446026508,0.67287193681384,41.31038261519454,0.6581246866120675
-0.013,0.095,0.3,16.704,-5.95,5.048404385747853,2.822538765350296e-05,0.5246485831518155,40.2685357548505,0.960186458300498
0.092,0.033,0.734,-0.541,9.443,7.97291378019871,-13.428380494443273,0.4969355485227724,30.40002969229883,0.5945392591506979
-0.08,-0.113,0.427,-4.819,25.135,-5.000015258789063,5.000045776367188,0.5,40.0,0.6180235876037814
0.038,0.096,0.517,-7.491,7.604,10.5,0.0,0.5,20.0,0.5417947570943052
-0.04,-0.094,0.188,-3.017,-2.04,-6.231286250809148,2.7588347493648446,0.8827058220483541,29.606855990654303,0.9974649408093208
0.101,-0.051,0.42,4.877,1.198,-2.536450083599247,-5.420012056206927,0.4625754215703792,49.98819113622131,0.9793401539390134
-0.071,-0.079,0.266,0.967,-0.002,-4.527982876302535,4.014285620509911,0.73832643183985,39.353895734678176,0.9883831966191944
-0.019,-0.055,0.525,7.541,-1.041,-10.035742044448853,2.1815299987793795e-08,0.6940368795394897,31.45853877067566,0.6057613974845278
-0.106,0.12,0.581,-3.303,2.717,10.0,5.18701171875,0.7,40.0,0.4083091670160738
-0.084,-0.118,0.099,15.546,-2.836,-9.27751895791183,5.755128815984476,0.8970563493006407,9.463633771304297,0.997267255799608
-0.081,0.018,0.101,8.998,1.092,-0.0001557742195035,5.680907993752779,0.9724933719957868,18.60776066626972,0.874260065774706
0.03,0.119,0.662,0.595,-16.765,10.304966564827978,0.0002608269469,0.4998398393336117,29.20702651925036,0.5331815359781352
