x,y,z,x_vel,y_vel,alpha,beta,z_vel,delay,score
0.101,-0.119,0.422,10.615,-9.148,-6.523657832264039,-5.685991286258247,0.4049294522120079,46.71710742503832,0.971391360773978
-0.001,0.024,0.179,10.565,5.667,1.8810131097372704,-0.000616126760282,0.9681612964748452,29.071668554771183,0.9542438089722488
0.104,-0.018,0.395,20.382,15.116,7.549384045129577e-05,-6.324479875355324,0.382367263719307,44.157762157325735,0.94513019311059
0.086,-0.012,0.194,-17.039,-20.237,0.0002574668357592,-4.563653361250456,0.6983025835411052,29.84855266286044,0.8758691197847595
-0.015,-0.037,0.19,-0.036,6.637,-8.097044048170796e-05,0.0002636191875477,0.6682986082393361,30.32062325553919,0.853168614384897
-0.095,0.045,0.153,1.933,7.477,4.675281576867903,6.737504846073839,0.4999988116446089,19.05919442476977,0.8537610971363045
-0.083,0.066,0.178,-12.868,-6.09,4.007007020674227,5.952141138069223,0.8339160678088718,28.567715950867285,0.9809094260179794
-0.031,0.079,0.375,9.01,-10.044,3.491270964175784,0.0007356092028219,0.4599532060600737,46.78020414357808,0.9256138153148868
0.016,0.085,0.421,-8.133,11.605,4.943975532398845,0.0004903082562654,0.3718665596048079,47.62440571786691,0.9345884250361832
0.087,0.114,0.252,13.305,10.942,5.947939455728438,-4.722650748996893,0.8630428406894315,38.081467379689386,0.917737129400861
-0.013,0.095,0.3,16.704,-5.95,5.048404385747853,2.822538765350296e-05,0.5246485831518155,40.2685357548505,0.960186458300498
-0.04,-0.094,0.188,-3.017,-2.04,-6.231286250809148,2.7588347493648446,0.8827058220483541,29.606855990654303,0.9974649408093208
0.101,-0.051,0.42,4.877,1.198,-2.536450083599247,-5.420012056206927,0.4625754215703792,49.98819113622131,0.9793401539390134
-0.071,-0.079,0.266,0.967,-0.002,-4.527982876302535,4.014285620509911,0.73832643183985,39.353895734678176,0.9883831966191944
-0.084,-0.118,0.099,15.546,-2.836,-9.27751895791183,5.755128815984476,0.8970563493006407,9.463633771304297,0.997267255799608
-0.081,0.018,0.101,8.998,1.092,-0.0001557742195035,5.680907993752779,0.9724933719957868,18.60776066626972,0.874260065774706
-0.022,-0.12,0.157,2.614,16.137,-6.1387442433276,4.441601488242709e-05,1.0465667180403209,25.799078884493458,0.9326711673657988
0.01,-0.14,0.237,11.799,9.096,-7.638285947775888,0.000240123604585,0.5454545200195055,32.492962875579444,0.8927842724538703
0.092,0.059,0.182,-10.37,9.065,4.168974963553639,-5.1605648992795885,0.8988631284581916,28.477799370387523,0.997688573361252
-0.089,0.101,0.249,7.894,18.287,6.532065313679274,4.4765415036049845,0.7446013317652452,36.43491745638815,0.9876038846154692
0.122,-0.099,0.281,-1.929,-19.305,-5.951140923049187,-5.980663560297035,0.6691816578581555,39.55228214381096,0.9863901132466868
0.074,-0.103,0.292,-6.525,2.501,-5.630600525229157,-3.72558721315512,0.6696026976229448,39.15811047317047,0.9379501808923963
-0.132,0.073,0.291,-1.19,2.985,3.8903921655683744,6.76331722513208,0.6682426977818988,40.47946095214299,1.0000725932023022
-0.119,-0.119,0.299,-0.412,-18.36,-8.173453214987799,6.132114956568557,0.7647875234377794,40.00485651630795,0.9617729181823668
0.026,-0.126,0.113,-0.356,-4.082,-11.645868569720903,0.0010343658631402,0.6727830874729133,11.75661693639687,0.8753789076529201
0.013,0.005,0.271,-4.953,12.198,0.0001874467386903,0.000140667143477,0.668306704028296,40.70855267426857,0.9283455444249442
-0.13,0.118,0.157,-6.986,12.625,8.869586259170099,9.390281974720754,0.7649220133953485,18.951402898617594,0.9834108761974892
-0.076,0.041,0.125,14.949,-12.298,0.0002338902108333,4.653024230751628,0.897873910014275,20.7311118578029,0.9088199564484416
0.125,-0.137,0.236,-6.022,3.426,-7.602108827479991,-6.691330833237323,0.5454543539438838,30.45072146937012,0.9476353830276988
-0.041,0.018,0.198,-9.479,-7.324,0.0011408803890258,3.1485905828292866,0.6719065587932485,31.73857153779464,0.936755407313022
