x,y,r,x2,y2,r2,x_real,y_real,z_real
234,352,10,382,311,10,-15,-15,0
325,355,10,394,328,12,0,-15,0
422,357,10,404,355,15,15,-15,0
219,370,13,301,311,10,-15,0,0
328,372,13,298,328,12,0,0,0
451,375,13,289,355,15,15,0,0
191,396,18,222,311,10,-15,15,0
340,403,18,202,328,13,0,15,0
488,406,19,173,353,15,15,15,0
234,299,11,381,266,11,-15,-15,10
323,302,11,394,276,13,0,-15,10
418,303,12,411,290,15,15,-15,10
221,304,14,308,266,10,-15,0,10
329,308,14,300,275,12,0,0,10
448,311,14,291,291,16,15,0,10
196,313,19,226,267,11,-15,15,10
341,318,19,205,277,13,0,15,10
491,324,19,172,293,17,15,15,10
243,224,11,382,200,10,-15,-15,20
326,226,12,398,198,12,0,-15,20
419,226,11,407,194,15,15,-15,20
222,211,14,301,199,10,-15,0,20
333,213,15,300,196,13,0,0,20
446,218,14,287,194,15,15,0,20
201,197,19,225,200,10,-15,15,20
342,200,19,206,198,12,0,15,20
483,203,19,177,195,15,15,15,20
239,163,14,386,142,10,-15,-15,30
330,164,16,386,129,12,0,-15,30
416,169,17,408,111,15,15,-15,30
229,141,17,307,142,10,-15,0,30
326,133,15,294,130,12,0,0,30
434,139,14,294,114,13,15,0,30
196,103,18,233,143,10,-15,15,30
337,101,18,208,130,12,0,15,30
481,98,19,168,115,15,15,15,30
394,385,15,244,340,13,7,7,0
283,221,13,341,199,11,-7,-7,20
333,136,14,298,130,12,0,0,30
