x,y,r,x2,y2,r2,x_real,y_real,z_real
209,335,16,397,393,14,-15,-15,0
205,217,15,419,415,14,0,-15,0
205,107,15,443,445,20,15,-15,0
313,339,17,309,391,12,-15,0,0
319,217,15,307,417,12,0,0,0
315,103,17,313,449,20,15,0,0
437,343,15,195,389,12,-15,15,0
441,219,17,181,413,13,0,15,0
443,113,18,161,441,17,15,15,0
197,345,19,401,331,15,-15,-15,10
197,215,19,415,343,15,0,-15,10
197,95,17,439,359,16,15,-15,10
319,355,20,305,331,13,-15,0,10
315,219,19,307,341,12,0,0,10
321,87,19,309,359,17,15,0,10
445,351,19,205,329,14,-15,15,10
453,223,20,185,339,13,0,15,10
449,97,20,175,355,18,15,15,10
179,341,21,395,259,11,-15,-15,20
183,195,23,407,259,12,0,-15,20
185,53,25,431,259,17,15,-15,20
325,355,22,303,253,14,-15,0,20
337,197,21,293,259,12,0,0,20
327,51,24,307,259,18,15,0,20
489,361,22,195,255,11,-15,15,20
499,209,24,173,255,12,0,15,20
485,57,27,169,255,18,15,15,20
147,361,31,395,183,13,-15,-15,30
147,205,30,411,185,13,0,-15,30
145,9,35,431,169,12,15,-15,30
323,403,31,307,187,13,-15,0,30
329,203,28,305,175,12,0,0,30
313,9,31,315,163,13,15,0,30
515,399,29,219,173,11,-15,15,30
515,203,32,205,175,19,0,15,30
511,17,32,183,161,11,15,15,30
